rt @napqilla: no 1, 3 ambisinya menguasai rakyat, no.2 ambisinya melayani rakyat, itu terlihat #debat2pilkadadki, mknya #loguepilihbadja aja;1
rt @pandji: nah gue pikir sentimen petahana oke di #debat2pilkadadki semalam. tapi mnrt politicawave malah sebaliknya. geng\u2026 ;1
rt @pandji: urutan pertama best moment #debat2pilkadadki : pak basuki misahin bu sylvie &amp;1
rt @pandji: ini artikel yg menjelaskan ternyata di #debat2pilkadadki yg dapet respon positif di socmed adalah #aniessandiokoce https:\/\/t.co\u2026;1
rt @mrtampi: agus makin santai.\nahok makin santun.\nanies makin esmosi.\n\nimho.\n#debat2pilkadadki;0
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja tahun baru imlek, pkb aj... https:\/\/t.co\/ggych4sgct #debat2pilkadadki #imlek;0
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! wni ang... ;0
nama nya juga debat\nbiasa nya itu https:\/\/t.co\/cjertypdxp;1
rt @dadansuwarna: kita ttp bisa bijak memilih, tanpa harus berteriak, tanpa harus mengumpat. #debat2pilkadadki #debatcagubdki;1
rt @aniesbaswedan: ibu, terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran, karakter dan semangat untuk berju\u2026 ;1
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026;0
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026;0
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026;0
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja  #debat2pil\u2026;0
rt @jokoanwar: tiap ahok djarot ngomong, nambah ilmu ya kita. #debat2pilkadadki https:\/\/t.co\/xwwrnalpbu;1
rt @jessyastrid: makasih @yosimokalu jangan kasih kendor untuk #1putaran #2periode #debat2pilkadadki salam dua jadiiii\u270c\u270c https:\/\/t.co\/jb5la\u2026;1
rt @kimochiii_: \ud83c\udfa4mohon bersabar ini ujian \ud83d\ude14#debat2pilkadadki https:\/\/t.co\/ihw6yznay4;1
rt @teddygusnaidi: 33. inilah gambaran yg saya sampaikan sebagai pendidikan politik agar supaya masyarakat tau siapa agus &amp;1
#debat2pilkadadki orang-orang yang berhenti belajar akan menjadi pemilik masa lalu. orang-orang yang masih terus b #nomor1.com #gunaal101;1
as usual, ga pernah menjawab dgn solusi.;0
yah namanya jh odong2 si @sylviana_murni https:\/\/t.co\/8g7u4iuyo7;0
rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026;0
rt @komunitaskata: #debat2pilkadadki bohongi bohongi terus org pakai opini kinerja baik, pdhl kinerjanya absolutely buruk! https:\/\/t.co\/m8g\u2026;0
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! pria as... https:\/\/t.co\/315l4axm8h #debat2pilkadadki https:\/\/t.co\/ybh5dtxnw2;0
rt @teddygusnaidi: ini yg gue bilang, yg hebat di tim @agusyudhoyono itu cuma tukang fotonya. coba zoom. orangnya dikit, kebyakan bers\u2026 ;0
pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! dua gan... https:\/\/t.co\/dojksgdiwv #debat2pilkadadki https:\/\/t.co\/ebhmnmgaq3;0
pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja tahun baru imlek, pkb aj... https:\/\/t.co\/1cvtw2ahuv #debat2pilkadadki #imlek;0
rt @novnuraidah: sy ga percaya mpok @sylviana_murni melakukan gesture jempol yg sgt bad attitude ini.moga hanya editan, ini hanya uj\u2026 ;1
